;COMPANY;GAME;COMMENTARY TITLE;COMMENTARY;RATE;DATE;GENERAL OPINION ABOUT THE COMMENTARY
41;Unity Technologies;Assassin's Creed Valhalla;One of the Greatest Assassin's Creed Games Ever!;I've been excited for this game for a long, LONG time. This might shock you, but I really liked Origins and Odyssey. I didn't love those two games, but I can see why both of them won critical acclaim and why they went into the Game Awards for game of the year. Again, I enjoyed those games, but I don't love them. Assassin's Creed Valhalla is simply amazing and exactly what I've been looking for in this new direction they're taking this series.If you don't like RPGs, you probably won't like this game. If you don't like upgrading your character and grinding your weapons to become stronger, you probably won't like this game. If you're like me, someone who's been a fan of this franchise since Black Flag, then this is the type of game that will definitely win you over like it won me over. Assassin's Creed Valhalla is one of the greatest games in the entire franchise. I would go out my way and call it one of my favorite games of 2020.Valhalla makes you feel like a viking, but you can upgrade your character to play like an assassin. Stealth is back and better than I imagined. No, it's not the best kind of stealth and it's not just go up to somebody and assassinate him all the time. Blending in with people? Now that's what I'm talking about, and that's what was lacking from the past two games... and it looks really good.The storytelling is amazing. The gameplay and combat are great. The visuals are great on both the PS4/PS5 and the Xbox One/Xbox Series X. The voice acting is awesome (Come on... it's Cnut from The Last Kingdom playing Eivor? Who would say no?!). The music is masterful. The sound design is awesome. This game is just so awesome!Assassin's Creed Valhalla is definitely a game I recommend to every AC fan and RPG fans. It's one of the best games I've ever played in 2020, it's truly amazing. Even though, in my opinion, the Ezio games are so much better, Valhalla has enough elements to allow you to enjoy it. I wholeheartedly recommend gamers this game to play and enjoy it. 10/10. Amazing game!;10/10;10 November 2020;65 out of 105 found this helpful.
42;Unity Technologies;Assassin's Creed Valhalla;Great game, thanks;AC has given a lot of entertaining hours Valhalla is great;10/10;13 November 2020;19 out of 29 found this helpful.
43;Unity Technologies;Assassin's Creed Valhalla;Very fun, recommend for everyone over 13;Storyline if very emmerse and engaging. The combat system can be better but I love it. The graphics are very good and the load times are better than in odyessy. The map is big and I didn't get bored. It doesn't feel like the map is just there for filling like in odyessy where you just get bored. The quests are pretty fun and the cities are fun to explore. I love to build my settlement and just explore the region. There are few sexual content which are mostly just missing but it's just a quick peck on the lips. I originally bought this for my son that is 12 but I enjoy playing it with him and I was playing late at night. Level grinding doesn't seem like grinding anymore and overall awesome;10/10;11 November 2020;13 out of 23 found this helpful.
44;Unity Technologies;Assassin's Creed Valhalla;Fun & Engaging;I have to admit, I haven't visited the franchise in a while, as I didn't play neither of the two previous games. However, I've always been a fan of it for a while, having played 8 out of the first nine installments. As the last game I played was AC Syndicate, the new approach into a more RPG style came to me as a surprise (to be sure), but a welcome one! I am not a person who plays my games for a long time, few games can catch my attention for more than the campaign's duration, but AC Valhalla has been terribly fun, and I've just reached 50 hours of gameplay, although I'm each day more eager to continue exploring the riches of pre-unification England. For sure among the most fun I've had with any open world game. This new style brings a breath of fresh air to the franchise, opening more doors than it closes for the future of the saga. Can't wait to see what the future holds for Assassin's Creed!;10/10;6 January 2021;5 out of 7 found this helpful.
45;Unity Technologies;Assassin's Creed Valhalla;A good concept lacking in execution;"I have been waiting for this game all year and I'm sorry to say I'm very disappointed with it. It almost feels as though it's release was very rushed. The game is full of a lot of ""nearly"" moments. It nearly meets expectations with various features but falls short. Sadly, the combat is not great. Very clunky fighting. I was a huge fan of AC Odyssey and had high hopes for this game. Sadly it falls short. The worst thing is that there are so many things in this game (raids, battles...) that are so promising but certain things take away from it. The audio during battles is not great. When raiding a village, you expect to hear loud metal clashing, shouting from panicked civilians and war cries. However, the audio during battle scenes is very underwhelming, which detracts from the concept of raiding. Overall, this was a ""nearly"" game. With such great concepts and things to do, it ""nearly"" achieved them, but fell short.";6/10;16 December 2020;24 out of 30 found this helpful.
46;Unity Technologies;Assassin's Creed Valhalla;One of the Best Games;If you are a fan of Vikings or just love Vikings or Assassins Creed or RPG games this is one of the best, I enjoy it so much and it's does not end very quick. The Main Character voice acting for the male is spot on! Well done Magnus Bruun and Ubisoft for this great game.;10/10;14 November 2020;12 out of 23 found this helpful.
47;Unity Technologies;Assassin's Creed Valhalla;Not next gen;"So far it's ok.To be honest it's a little boring and I dont think it's sets a good example for ""next gen"". I have it on Xbox Series X and I have come under multiple bugs were certain missions are unplayable. Npc animations are not the best I have seen arms moving the wrong direction, objects floating in peoples hands and arrows stuck in characters face during cut scenes. There has also been alot of sound synchronisation issues. The polish contrary to what review companies are saying is not there!The story so far is also not the best I would have liked greater character depth.Dont get me wrong I like the assasins creed universe I think the world they have created is good but so many other open world games are available and for a £60 price tag I expected a bit more.I think ubisoft like other companies should have delayed this project rather than use it a opportunity to be one of the only launch titles on boths consoles.";6/10;12 November 2020;32 out of 46 found this helpful.
48;Unity Technologies;Assassin's Creed Valhalla;Amazing!!!;The best yet don't care what anyone thinks lol 😁🔥🤙🏻;10/10;14 November 2020;7 out of 12 found this helpful.
49;Unity Technologies;Assassin's Creed Valhalla;Not for historic fans;Decent gameplay, buggy at times. Butchers the history.;6/10;29 December 2020;12 out of 18 found this helpful.
50;Unity Technologies;Assassin's Creed Valhalla;100+ hours opinion.;"I read some comments, and think I played different game. But I guess everyone is seeing it in their own eyes. Let me start by saying this game is the worst of last three./+ Settlement upgrading and overall feel of home base. It was fun and interesting to find all these activities, to decorate it and so on. /- Shop system. How in the hell I can't see what kind of Tatoo or decoration I am buying before I buy it? /+ Weapon and Armor upgrades. Simple to understand and to use. Can use the same Axe during whole game if I want to and it won't be under powered. /- Arrows. The fact that I can't make arrows, but have to find them in the woods infuriated me more than it should have. /+ Voice acting. Played as Male. Loved it. /- Mistakes in dialog. I was called ""SHE"" more times than once or twice. Hard to imagine how simple things like that can slip during test runs. /+ Fighting it self. Quite simple and easy to do. Doesn't require a lot of practice. /- LOGIC This one is a big one. And I am not talking about reality VS game. Some examples:1. I climb a wall to open some gates and let my troops in, but somehow they already fighting on this side of the gates. 2. Prisoners have their weapons on them then I rescue them. I know you can do better cause in Odyssey prisoners would take weapons from racks after I freed them./+ Size. It is really big world to run around. /- MAIN story. No spoilers so won't go into details, but I was extremely disappointed how ending was.. blunt and dull. I was like: ""What do you mean, ""thats it?"""" . /- SIGURD story. It has a big build up and felt it's gonna be something special but it as well was awkwardly disappointing. /- PRESENT story. I guess we are divided in those who like present and those who doesn't. I personally think that after Desmond they didn't find a proper idea. And now they are just holding on to it as strange identity thing, that I really hate. /+ QUEST for conquering. Most of them felt good and fun to complete. Enjoyed most of them. +/- RAID. I guess raids are like identity for Valhalla.and mostly they are fun to do. However had to load a game more than enough times to be annoyed by the bugs then could not get my crewmates to help me open door or chest. +/- SIDE quest. (Blue dots). Trying to engage you but most of them don't succeed in capturing your focus and interest. /- Hunting. the fact that i need to kill 2 or 3 hares just to get 1 hare foot is laughable, irritating and to be fair - cruel. Feels like devs decided to make ti grinding experience for those who wants to finish all hunter quests. (PS: Killed 5 black bears - didn't get fur even once.) /- Cinematic. I was so disappointed then at one point Eivor in the cinematic (and short fighting sequence that followed) was with different hair and beard style and even different color than the one I played with.Could really talk more but I think it will be enough. To summarize I will say that this game feels like no one played it after it was made, so there are so many bugs, glitches and simple mistakes that at some times I would just save and turn it off. I say that while understand that big and large games like that can't be without false. I played 100+ hours so I got my money worth for sure. However, I would not call this game triple A game. Not by the standards some other games raise today.";4/10;21 November 2020;55 out of 70 found this helpful.
51;Unity Technologies;Assassin's Creed Valhalla;One of the best AC games in my oppinion!;This game is just awesome! Being a huge consumer of AC games (I finished AC 1, 2, 3, Black Flag, Unity, Odyssey and have 100% Syndicate and Origins) I am not disappointed by this one! Firstly, it is simply magnificent, the most beautiful to date and having an entry-level gaming pc, it holds up with high / super high graphic settings at almost constant 30 fps. However, the game keeps the same recipe in its combat gameplay as AC Origins and Odyssey (which I personally enjoy but I know that not everyone does ) so make sure you enjoy this type of gameplay, the same goes for the infiltration phases, which are rarely encouraged, in favor of a frontal attack (which is great during strong attacks, but I still miss the infiltration mechanics that we used to find before). In terms of history, I do not have a titanic progression for the moment but I can still say that for the early game the missions are well written, even if of course they do not compete against a The Witcher 3 or AC 2. The vocal interpretation of Magnus Bruun (who plays male Eivor) is in my opinion more than perfect! Finally let's talk about the world, which remains the key point of the success of ubisoft open world. It is in my opinion incredibly well done, as much for its breathtaking large-scale landscapes, its huge Saxon towns as well as the smallest details of a small abandoned hut on top of a mountain in a Norwegian fjord, this world is quite simply beautiful and alive, and knows how to surprise us and arouse our curiosity and our thirst for discovery. To conclude, if you enjoyed the gameplay of Origins and Odyssey or if you want to get started in the world of AC, this game is for you and I recommend it 100% !! However, if you are a hardcore old AC fan and have doubts about the gameplay of recent AC games, you can go your way, even if you miss the opportunity to visit in my opinion one of the most beautiful open worlds that video games have ever known (purely personal opinion).;10/10;14 November 2020;11 out of 22 found this helpful.
52;Unity Technologies;Assassin's Creed Valhalla;Not for everyone but a great experience;At this point Assassin's Creed has become the Fast and Furious of video games but I'm ok with that. Valhalla has an immersive story that brings in familiar music and gameplay from the beloved beginnings with new characters, stories, and freedom that is making this game the awesome game it is. I started playing as the female but changed to the male Eivor 30 hours in because while she has a good voice actor, the story does not flow well and I find it hard to become attached to female Eivor unlike playing as Kassandra in Odyssey whom I would simp for hard. My issue? There are too many places you can get your character stuck and have to reload. A few times is expected and funny but when it's consistent that's when it gets annoying. The ability tree is overwhelming at first but it gets easy to work with the more you play and discover how you are wanting to play stories and just as a dope viking assassin. There's a lot to explore and so many ways to approach every situation that it really is your way to play. It keeps me interested but I do prefer Assassin's Creed Odyssey;9/10;10 December 2020;5 out of 8 found this helpful.
53;Unity Technologies;Assassin's Creed Valhalla;Best one yet;Assassin's Creed Valhalla is amazing. This is the best one yet. I won't spoil it for anyone but if you love Viking's, Assassin's Creed, and war them this is the game for you. If you've ever seen the show Viking's then you will recognize some of the names in the game. From the raiding to the story this game is perfect in my opinion. You grow to love the characters and will say this is to me the best Assassin's Creed yet.;10/10;12 November 2020;8 out of 15 found this helpful.
54;Unity Technologies;Assassin's Creed Valhalla;Odyssey and origins was way better;"I like it so far don't get me wrong, but this game is lacking something for it to be an actual assassins creed game. The equipment all the same, none of it has ""special qualities"" and if you equip a pointless rune it may or may not trigger that special rune ability, you are dependent on if you have ability stamina for abilities which yeah good luck,. Not very good really. Definitely not loving this version at all, and the DLC content, no meat to it, not worth the extra you pay for it.";8/10;4 January 2021;8 out of 16 found this helpful.
55;Unity Technologies;Assassin's Creed Valhalla;Boring edition to the franchise;Yeah this one bored me. I didnt like a lot of the characters and the story just wasn't interesting unfortunately.In AC i prefer stealth play but a lot of the time you are piling in with your whole crew which takes away the assassin element.Lots to do for sure, so if you dont mind repetitive game play and like huge open worlds then this one is probably for you.;6/10;11 May 2021;8 out of 12 found this helpful.
56;Unity Technologies;Assassin's Creed Valhalla;Nearly perfect;An absolute brilliant game! Open world chaos with endless things to do with an excellent story and loveable characters. Just a couple of glitches and still easy to play even on nightmare mode which I never thought I would find myself saying that about a game.;9/10;13 August 2021;6 out of 12 found this helpful.
57;Unity Technologies;Assassin's Creed Valhalla;Great work ubisoft;Great step up for odyssey.Thanks not much to say.;9/10;12 April 2021;4 out of 7 found this helpful.
58;Epic Games;Fortnite;Kinda Boring (Battle Royale);When you start playing the game, it might be kinda fun for you, but after a couple weeks it just turns boring, every single match is literally the same thing.;5/10;18 August 2019;22 out of 40 found this helpful.
59;Epic Games;Fortnite;Awful;When I was 13 fort nite was all anyone talked about at my school so I assumed that it was the new Minecraft but when I finally played it, it was just so bland and not creative that a 7 year old could've designed it do not recommend this game is bad;4/10;19 May 2020;7 out of 12 found this helpful.
60;Epic Games;Fortnite;It was fun for a while but not anymore;"It was addictive at first but I got bored after a while.It's kinda just a small brain kids game now day. It's ironic that a company called ""Epic Games"" made Fornite. But at least it's a game I guess...";4/10;23 February 2021;3 out of 4 found this helpful.
61;Epic Games;Fortnite;Getting worse over the seasons.;Season 1,2,3,4 and maybe 5 were playable. Other is just trash. Bad storyline, stupid map changes and tryhard players destroyed the fun i had playing it. Just end it.;3/10;17 June 2019;64 out of 99 found this helpful.
62;Epic Games;Fortnite;Mindless Fun Shooter;"Fortnite is a game that gets endless praise and endless hate. It deserves neither. Fortnite is a game where you can relax and have fun with friends. No narrative, no real goals other than to rank up and win games. With a lackluster ""save the world"" game mode which acts as a zombie survival shooter, Battle Royale has cemented itself as a fun and quick paced game that honest fun.";7/10;18 April 2020;22 out of 28 found this helpful.
63;Epic Games;Fortnite;Overrated;A overrated.... How this game is so hyped?????? Why????;1/10;4 February 2019;86 out of 137 found this helpful.
64;Epic Games;Fortnite;Received too much hate.;Overall the game is really fun to play. The has frequent updates which keeps it alive. The game also has a very intriguing storyline. Along with the storyline there are in game live events. You can't say the game is bad because the community is bad also. The community is beyond the games control. On top of everything, the game is free.;10/10;6 April 2021;7 out of 9 found this helpful.
65;Epic Games;Fortnite;Stop saying that it's bad.;"Ok, don't get me wrong. It can be bad. There were some stupid changes. But the real issue is the community. The clickbait, the try hard, the weeper, and the inappropriate. I once joined a lobby to hear ""Where the F)&@ we landing?"" And so on, like I said. It can be bad but overall. It's the game that turned out good, but like so many other games. Minecraft, Rocket League, and COD, the community couldn't get their act together and it fell. Just sad.";7/10;7 August 2022;5 out of 5 found this helpful.
66;Epic Games;Fortnite;Either you love it or hate it;"To me, Fortnite is a cash grab for epic games, designed to be colorful, bright and fun. As I get into my 30's, I find myself less & less interested in playing newer video games. They're getting way too complicated to follow along with anymore. A vast majority of games being made now are what I like to call ""Interactive movies"" where players can follow a storyline and not actually play a game. Back in the 1970s & 1980s, those were games, there were no storylines or if there were, they didn't really matter. I have grown tired of playing interactive movies at this point.And this leads me to admit that I have been playing Fortnite since 2019 now and I still like it. The game is simple enough for me to play, and anyone can pick it up and play it. The storylines don't really matter, they're there in case you feel like going along with them. The original characters are colorful and cute, and the well-known heroes & heroines are there to draw in the older crowd. While a Gen Z might be content with the colorful characters introduced every season, older players like myself often choose to run around the island gunning down bots as Kratos from God of War, Master Chief from Halo, Ripley from the Alien films or the Predator from the 1987 film.However, I'm a grown man so I don't get to practice this game much compared to some of the other players, many of whom are in another stratusphere of talented at this game. Fire one shot at them, and they're building a fort that looks like those old lego commercials where the smiling kid is putting together the set, but the footage is sped up ridiculously fast. Compare that to the numerous bots included to fill out the island to make 100 players. Picking off a bot feels rewarding when you first play but after a few weeks of playing, the bots are a joke. Picking off a human opponent, it's either a challenge or ridiculous, but picking off a player with a username that advertises a Gaming channel on youtube? Satisfying.However, I see how Fortnite is part of the modern era of gaming - it's free to play, but it's full of content that you need to pay about 10$ every 3 months to enjoy. That's how we've gone from paying $50-$60 once for a game, and it was ours, forever if we wanted to keep it. The game's creators made a big chunk of money once from the game, and that was that. Now, They make the game ""free to play"" but nickel & dime the player. In some ways, that's fair, because piracy has often eaten into a gaming company's profits. In other ways, some players have paid hundred for battle passes every 3 months and V-bucks for the endless special content that is advertised. Yeah, it's cool to play as your favorite superheroes and TV & movie characters, Some you can unlock for free, but others can cost well over $10.I get the hate for this game too. Everyone has a right to hate Fortnite for what it is, and how some ""sweaty"" players can ruin the game for someone just trying to have fun. If you don't take it too seriously, and you're content with the battle passes, which are loaded with added content, you can still have fun. I'm not a ""hotel with WiFi builder"" like some players are, but if I can make it to the last 10 players on the map and score a few eliminations before getting picked off by a sweaty player, i'm not mad. Once in a while, I can win matches, sometimes against sweaty players.Fortnite is not for everyone. If you hate it, maybe colorful online shooters are just not your thing. Let the people who enjoy them, enjoy them.";8/10;4 February 2022;6 out of 9 found this helpful.
67;Epic Games;Fortnite;i need to say that its required skills;The game its not bad and it asking for skills (construction, aim, objects). And i kind like the game even if the construction make the game hard for me. It really need some skills for that and time. I enjoyed it anyway and its really interesting and can be very interesting with the mechanics that i found hard to master. And what other good point of the game its that all the developpers make some updates of the game and thats very good to see that.;7/10;21 February 2022;3 out of 5 found this helpful.
68;Epic Games;Fortnite;Fortnite=One of the most overrated/competitive games of 2017-2018;"This game got boring when I played it the third time and the Battle Royale is overrated except for PUBG. The fanbase is terrible! If you hate the Minecraft fanboys then read the fortnite fanboy comments when someone say ""Fortnite suck"". I've been playing Doom³ (because I don't have Doom 2016 yet) for the past month and that's more addictive then this overhype game. Even GTA 5 is still more fun! Still better than Minecraft though.";1/10;6 May 2018;68 out of 124 found this helpful.
69;Epic Games;Fortnite;More battle royale games?;This one is probably the worst one out of all of them!;Not Informed;20 August 2018;83 out of 131 found this helpful.
70;Epic Games;Fortnite;Super overrated;Probably the only reason people still play it is because it is free and streamers... money.;2/10;26 July 2019;36 out of 62 found this helpful.
71;Epic Games;Fortnite;I love among us;Among us is such an intricate game with so many different ways to play it.You can be an impostor, you can be innocent, you can be ghost - you can be everything in this game! But you can't be? Exactly. You can't be non-sus.You are always sus and this is why i am only igving the game a 10/10 and not an 11/10 because it is very very anoying when people call me sus and i say that i am not sus but they are like you ARE sus and i'm like :( im not and then they eject me out of the spaceship for being sus anyways go play among us it is 5 bucks well spent or you can be a little naughty boy and download it on phone >:) anyways go play it!!! Good game. 10/10.;10/10;3 October 2021;6 out of 10 found this helpful.
72;Epic Games;Fortnite;Trash;One of the games I have ever played. I barely ran into enemys. It's so boring;1/10;8 November 2018;63 out of 116 found this helpful.
73;Epic Games;Fortnite;The Best Battle Royale Game;It is a very fun and addictive game. It has lost popularity in recent months but it is still the best Battle Royale Game.;10/10;24 February 2020;8 out of 16 found this helpful.
74;Epic Games;Fortnite;Play for fun only;The reason this game is popular is only because of the Battle Royale aesthetic. Save the World mode didn't attract as many people, and Creative Mode is an accessory for XP, points in-game you receive to earn rewards.This game clearly tries to make a point that it is 'fair', which is simply not true. Pay-to-win skins, toxic and mature players, and even the occasional cheats, hacks, and glitches will cause a bad experience for those who play for accomplishment.If you choose to download this game, it will not be a complete waste. But only download and play it either for fun, or for the Item Shop outfits (which include characters from Dragon Ball, Naruto, League of Legends, and even Star Wars) that you won't need a 'once attempt' at.;6/10;18 September 2022;1 out of 1 found this helpful.
75;Epic Games;Fortnite;Virgins will love it;The FitnessGram Pacer Test is a multistage aerobic capacity test that progressively gets more difficult as it continues. The 20 meter pacer test will begin in 30 seconds. Line up at the start. The running speed starts slowly but gets faster each minute after you hear this signal bodeboop. A sing lap should be completed every time you hear this sound. ding Remember to run in a straight line and run as long as possible. The second time you fail to complete a lap before the sound, your test is over. The test will begin on the word start. On your mark. Get ready!... Start.Okay Gamers, can this review get 50 dislikes???????Edit: YES, YES WE DID IT! , ALEXA INITIATE VICTORY ROYALE PLAYLIST;1/10;26 November 2018;89 out of 175 found this helpful.
76;Epic Games;Fortnite;great;Fortnite battle Royale launched in September 2017 and in its fist couple years was a great game. Fun updates, no try-hards. This game was perfect and was far superior to PUBG. This game didn't have potato graphics or sweats. It was a fun game to chill out and relax after a long day with your friends. Chapter 1 is by far the best chapter ever, best map, best guns, best graphics. Everything about this part of Fortnite was perfect. They ruined it later though in S10. Ian season 10 they decided to add robots that shot a million missiles and shotgunned you to death. This was the downfall of fortnite. The game literally added a teaming device into SOLOS!!! Epic Games don't care about there game 9 season into its lifespan. Look at Apex Legends. They put good content into the game and shocker here. THEY CARE ABOUT THEIR COMMUNITY! Epic don't. They can't be asked because they are so caught up in a stupid storyline which nobody actually cares about!! S1 to 9 of this game is perfect. Then its gets worse from there.;7/10;12 October 2022;1 out of 1 found this helpful.
77;Epic Games;Fortnite;The most overrated game in the universe....;"I see nothing but Fortnite on Trendings. Just stop. You know.. there are CSGO, Brawl Stars, Portal and even Half Life! But the only things kids want is ""Breaking the Fourth Wall Nite""";1/10;2 June 2019;34 out of 63 found this helpful.
78;Epic Games;Gears of War;One of the ultimate multiplayer military strategy games;In GEARS OF WAR you control Marcus Fenix, a disgraced squad leader of the forces of the Coalition of Ordered Governments (COG). After his cohorts help him to escape from prison, he takes his squad to attempt to thwart the onslaught of the Locust Horde and to destroy their network of tunnels within Planet Sera. An optional second player can join in and control comrade Dominic.In this third-person shooter, you must make judicious use of all available cover in order to succeed without being wiped out very quickly. When under cover you can shoot from behind it either by poking your head out to have a look at what you're shooting, or you can blind- fire (meaning that you can just poke your gun out without having to look, which is safer but lacks the accuracy of viewed firing). You can also roll to one side or the other to hopefully get to the next bit of cover quicker, if you are on one side of a door you can quickly spin to the other side, or you can jump over your cover (if it's low enough). There is even an option to run lower and more quickly towards the next bit of cover (provided that it's not too far away), which can be advisable if you are in the open too long as being lower and quicker makes you harder to hit.You have a multitude of weapons at your disposal, most of which have limited ammunition (which can be picked up if it's lying on the ground, or you can top up a lot of weapons for which you do not have full ammo). There are various kinds of pistols and other handguns, although really these are only advisable if you don't have a bigger gun to use. Bigger guns come in a variety of sorts, with possibly the most well-known one being the Lancer, which has the much-talked-about chainsaw bayonet for close-quarters combat. Whereas with some of the other weapons you can strike with the butt of the gun, with the chainsaw bayonet you can rev it up and enjoy something of a guilty pleasure as your character swings the blade into the foe, ripping its skin apart and sending dark red blood jetting upwards, even spraying your screen! (Don't worry, you can still see through it and it does quickly fade). There is quite a bit of gore in GOW, but by far the chainsaw bayonet is among the goriest imagery in the game.Other bigger guns include (but are not limited to) the shotgun and the sniper rifle, although its chamber can only accommodate one bullet, so you have to reload after every shot.Reloading presents an extra facet which, when mastered, will allow quicker reloading and more powerful shots. When you start to reload a reload bar appears, with a meter running from left to right. when it reaches the right of the bar your gun will be reloaded. However, if you can stop the meter when it's within a small marked section of the bar which is about a third of the way across you will gain the aforementioned quicker reload and the accompanying benefits.Also available are frag grenades, although you can only have up to four of these. When you use these you can either just throw them or you can aim using an on-screen arc that shows where your grenade will bounce and where it will explode.There are also some other more powerful weapons, which I won't give away, but these should understandably be saved for the more troublesome foes.When you take a hit you start to see a red cog appear on the screen. the more complete it is the closer you are to dying, so get under cover quickly! If it turns into a fully intact cog with a skull in the middle the screen goes bright red and you are dead (unless you're in multiplayer mode, where another player can go up to you and revive you).Graphics are dark and moody, sometimes genuinely scary and very gory. There are bits later on where a small swarm of creatures known as Kryll will kill anyone who strays into shadowy areas for too long. Sound is equally cool, although some of the dialogue has voices that aren't quite up to the same standard.Gameplay is simple enough to pick up, and all the various actions are well thought-out, with one button being a context-sensitive button, where your character might flick a switch, kick open a door or turn a valve. Before too long you will be ducking under cover and taking pot- shots at the foes like a seasoned COG war veteran.If I did have one minor complaint, the scenes in rocky sections (e.g. caves) seem too artificial, almost as if they had been designed to contain cover (I know they have, but it still seems artificial). In the building-related scenes the cover is justified and logical (e.g. church pews in churches, fountains outside, pillars, bits of broken walls, windows etc), but when you see conveniently-placed rocky outcroppings to hide behind it somehow detracts slightly from the immersive experience that GOW otherwise offers. Another complaint involves the grenades in multiplayer mode. some details of the aiming arc can be off-screen if playing using two-player split-screen, which can make them harder to use than normal.However, GOW stands out as a brilliant game in its own right, and is probably the main reason for investing in an XBox 360, especially in multiplayer mode.;9/10;1 January 2007;12 out of 12 found this helpful.
79;Epic Games;Gears of War;awesome is not the word!;This is a game that is beyond good, even beyond great, even beyond awesome.this awesome is derived from the unbelievably addictive online play that is worth the 14.99 price tag. this game is a must by simply because of the graphic brilliance in multi-player crisp controls AND THE LASHINGS OF GORE the game scores points for the story mode but just a few. it isn't really all that good and the story is the same as many other games but it is still fun.get this game for the single player and be entertained, play the multi-player and be astonished;9/10;14 February 2008;9 out of 9 found this helpful.
80;Epic Games;Gears of War;Terrific game!;"I knew from the start Gears would be a great game. I didn't doubt it for one second.Graphics- On non HD T.V.s it looks amazing. So much detail went into almost everything. But on HD you will be blown away. Either way, it looks great.Sound- Probably the only bad thing. The sounds and everything are great its just the voice work is a bit caveman.Violence- Had to bring it up because when I first chainsawed an enemy I was like ""Whoah!"". Definitely a gory game.Gameplay- Sort of like Resident Evil 4. The controls may take a bit time getting used to but once you figure them out aiming and shooting will be simple.Overall- Great game. A must buy for 360 owners.10/10";10/10;19 November 2006;19 out of 23 found this helpful.
81;Epic Games;Gears of War;Gears is a Must Play;For anyone who owns a Xbox360 and is not playing Gears of War right now, it is imperative that you do so. Gears of War is an epic game created by.. well.. Epic Games. It is a 3rd person shooter that utilizes a somewhat tactical feel. You fight an alien/monster horde called the Locusts, and old-school shooter style, there are large bosses you must kill every so often. The online is more team based than the campaign mode, because you can revive your teammates (if you can reach them in time), and four guns always wins against one.If you are questioning purchasing this game, you will regret it if you don't. Go out and buy Gears NOW!;10/10;13 November 2006;30 out of 39 found this helpful.
82;Epic Games;Gears of War;Unique action experience. It started a revolution.;"Gears Of War seriously smashes any other War-Action video game from the new millennium. This is probably the most spectacular game of it's kind when it comes to unlimited action, gore, visuals, sound, and even dialogs. The weak point is the plot because it doesn't let you explore more of it but oh! who cares when it's all about action?! This game started a revolution in video games because it creates a whole new world based on not-so real humans battling aliens in an Apocalyptic scenario.The visuals are just impressive and you won't get better. The sound is impressive and I would compare it to any action movie from the likes of ""Independence Day"" or even the almighty ""Terminator 2: Judgment Day"".This is the prime example of the XBOX 360's power. It's a must have for any video game lover. The online mode is just as addictive and spectacular.Please get this game and be part of the new history of video games.";10/10;24 July 2009;6 out of 6 found this helpful.
83;Epic Games;Gears of War;man, this game rules;Firstly i would just like to state a simple instruction, -BUY THIS GAME-. anyway now that is out of the way onto the game-play. the game-play itself is deeply entertaining, although some may find it a little repetitive, they will also tell you it is fun! the only reason for not liking this is if you are a girl who hates action games, sad i know.... the average player will not be impressed with the opening events in the game, but then again, you have choice's of which paths to take, and the range of decision making is outstanding!The graphics are no less than great, but then again this is on the Xbox 360. one of the best games and a well spent £37.97 GET THIS GAME!!!;10/10;25 November 2006;15 out of 19 found this helpful.
84;Epic Games;Gears of War;Yes this truly is breathtaking!;WOW. Just WOW.This game caused so much hype for avid 360 gamers like myself...and boy did it live up to it's expectations! I bought the limited edition version and got an extra DVD with it and a small hard back book with pretty pictures and nice words. I haven't watched the DVD yet as I wanted to finish the game first.I am so impressed with this game. The story is admittedley short, but if you play the story in INSANE mode, it's going to last A lot longer than if you play it in CASUAL mode. However, the story itself is really good...you're working towards getting something (A Resonator) to destroy like a second world. It keeps you involved, and I do think that if they made the sotry any longer than it is, it might start to get abit repetitive...so well done to Eipc Games. Even the online version is very good, very fun. Abit like Halo 2 online, in the sense that, EVERYONE wants either the sniper rifle or the grenade launcher. lol. There isn't any lag either! Well, I didn't experience any.The co-op is awesome! I played the co-op with my boyfriend, and working together as a proper team is exciting! And I must say...The graphics are unbelievable!!! My dad has a Samsung HDTV and oh my god...talk about take your breath away! Every 360 owner should have this game...if not...WHAT IS WRONG WITH YOU! :);10/10;24 November 2006;21 out of 28 found this helpful.
85;Epic Games;Gears of War;Gears is the best xbox360 game that i have ever played;Gears Of War is the best game on xbox360 maybe even best game I've played all year.With the best graphics i have ever seen on any system.The environments and surrounding ruin of cities looks great like an actual bombed out city.The A.I. in G.O.W is decent not to great though they are kinda dumb all they do is attack and take cover.Sound is awesome on it the guns sound great and the voice acting is really good done by professionals.The story is great just too short for my liking but its well done and when the soldiers talk they talk like real soldiers would by making jokes and trying to keep the morale up.Its a little sad to say but the way the soldiers act in this fictional war game is more real than they act in a real war game(my friend in the army told me thats exactly the way him and his company act).Actual game play of G.O.W is very easy and simple to get into and the firefights you'll be having are amazing just intense fire fights with taking fire and returning fire a decent variety of weapons makes the games fire fights fun.Taking cover is crucial to game play but its not as bad as it may sound you don't have to take cover for minutes at a time there are plenty of chances to run out and gun the Locusts down.All in all this is a great game worth buying if your a shooter fan or want a fun game to play its a most own for any 360 owner if they like action games at all.;10/10;15 January 2007;7 out of 8 found this helpful.
