GAME ID;GAME NAME;GAME COMPANY ID;MINIMUM REQUIREMENTS; RECOMMENDED REQUIREMENTS
34;Mega Man 11;6;Requires a 64-bit processor and operating systemOS: OS: Windows 10 (64-bit required)Processor: Intel Core i5-3470 3.20GHz or AMD equivalent or betterMemory: 4 GB RAMGraphics: GeForce GTX 650DirectX: Version 11Network: Broadband Internet connectionSound Card: DirectSound (DirectX 9.0c or better)Additional Notes: ・DirectX9.0c is also required ・Hardware specification target　Resolution: 1080P/60FPS　Display Mode: Windows Mode　Anti-aliasing: OFF;Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit required)Processor: Intel Core i5-4460 3.20GHz or AMD equivalent or betterMemory: 4 GB RAMGraphics: GeForce GTX 760DirectX: Version 11Network: Broadband Internet connectionSound Card: DirectSound (DirectX 9.0c or better)Additional Notes: ・DirectX9.0c is also required ・Hardware specification target　Resolution: 1080P/60FPS　Display Mode: Windows Mode　Anti-aliasing: ON
35;Borderlands 3;7;Requires a 64-bit processor and operating systemOS *: Windows 7/10 (latest service pack)Processor: AMD FX-8350 or Intel i5-3570Memory: 6 GB RAMGraphics: AMD Radeon™ HD 7970 or NVIDIA GeForce GTX 680 2 GBDirectX: Version 11Storage: 75 GB available spaceSound Card: DirectX Compatible;Requires a 64-bit processor and operating systemOS *: Windows 7/10 (latest service pack)Processor: AMD Ryzen™ 5 2600 (Intel i7-4770)Memory: 16 GB RAMGraphics: AMD Radeon™ RX 590 or NVIDIA GeForce GTX 1060 6GBDirectX: Version 12Storage: 75 GB available spaceSound Card: DirectX Compatible
36;XCOM 2;7;OS *: Windows® 7, 64-bitProcessor: Intel Core 2 Duo E4700 2.6 GHz or AMD Phenom 9950 Quad Core 2.6 GHzMemory: 4 GB RAMGraphics: 1GB ATI Radeon HD 5770, 1GB NVIDIA GeForce GTX 460 or betterDirectX: Version 11Storage: 45 GB available spaceSound Card: DirectX compatible sound cardAdditional Notes: Initial installation requires one-time Internet connection for Steam authentication. software installations required (included with the game) include Steam Client, Microsoft Visual C++2012 and 2013 Runtime Libraries and Microsoft DirectX.;OS *: Windows® 7, 64-bitProcessor: 3GHz Quad CoreMemory: 8 GB RAMGraphics: 2GB ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or betterStorage: 45 GB available spaceSound Card: DirectX compatible sound card
37;NBA 2K21;7;OS *: Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel® Core™ i3-2100 @ 3.10 GHz / AMD FX-4100 @ 3.60 GHz or betterMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GT 450 1GB / ATI® Radeon™ HD 7770 1GB or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 110 GB available spaceSound Card: Directx 9.0xAdditional Notes: Dual-analog Gamepad recommended. Initial installation requires one-time internet connection for Steam authentication. software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012. In order to play NBA 2K21 on PC, you need a processor capable of supporting SSE 4.2 and AVX.;OS *: Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bitProcessor: Intel® Core™ i5-4430 @ 3 GHz / AMD FX-8370 @ 3.4 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 770 2GB / ATI® Radeon™ R9 270 2GB or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 110 GB available spaceSound Card: Directx 9.0cAdditional Notes: Dual-analog Gamepad recommended. Initial installation requires one-time internet connection for Steam authentication. software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012. In order to play NBA 2K21 on PC, you need a processor capable of supporting SSE 4.2 and AVX.
38;Civilization VI;7;Requires a 64-bit processor and operating systemOS *: Windows 7x64 / Windows 8.1x64 / Windows 10x64Processor: Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greaterMemory: 4 GB RAMGraphics: 1 GB & AMD 5570 or nVidia 450 or Intel Integrated Graphics 530DirectX: Version 11Storage: 17 GB available spaceSound Card: DirectX Compatible Sound DeviceAdditional Notes: Initial installation requires one-time Internet connection for Steam authentication. software installations required (included with the game) include Steam Client, Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. Internet connection and acceptance of Steam™ Subscriber Agreement required for activation. See www.steampowered.com/agreement for details.;Requires a 64-bit processor and operating systemOS *: Windows 7x64 / Windows 8.1x64 / Windows 10x64Processor: Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greaterMemory: 8 GB RAMGraphics: 2GB & AMD 7970 or nVidia 770 or greaterDirectX: Version 11Storage: 23 GB available spaceSound Card: DirectX Compatible Sound Device
39;Mafia III;7;Requires a 64-bit processor and operating systemOS *: Windows 7 64-bitProcessor: Intel I5-2500K, AMD FX-8120Memory: 6 GB RAMGraphics: 2GB of Video Memory & NVIDIA GeForce GTX 660, AMD Radeon HD7870Storage: 50 GB available spaceSound Card: DirectX Compliant Sound cardAdditional Notes: Windows 8.1 users may need additional Windows Update files: Please Click here for information;Requires a 64-bit processor and operating systemOS *: Windows 7 64-bitProcessor: Intel I7-3770, AMD FX 8350 4.0 GhzMemory: 8 GB RAMGraphics: 4GB of Video Memory & NVIDIA Geforce GTX 780 or GeForce GTX 1060, AMD Radeon R9 290XStorage: 50 GB available spaceSound Card: DirectX Compliant Sound card
40;The Witcher 3: Wild Hunt;8;OS *: 64-bit Windows 7, 64-bit Windows 8 (8.1)Processor: Intel CPU Core i5-2500K 3.3GHz / AMD A10-5800K APU (3.8GHz)Memory: 6 GB RAMGraphics: Nvidia GPU GeForce GTX 660 / AMD GPU Radeon HD 7870DirectX: Version 11Storage: 50 GB available space;OS: 64-bit Windows 10/11Processor: Intel Core i5-7400 / Ryzen 5 1600Memory: 8 GB RAMGraphics: Nvidia GTX 1070 / Radeon RX 480DirectX: Version 12Storage: 50 GB available space
41;Cyberpunk 2077;8;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Core i7-6700 or Ryzen 5 1600Memory: 12 GB RAMGraphics: GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380DirectX: Version 12Storage: 70 GB available spaceAdditional Notes: SSD required. Attention: In this game you will encounter a variety of visual effects that may provide seizures or loss of consciousness in a minority of people. If you or someone you know experiences any of the above symptoms while playing, stop and seek medical attention immediately.;Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Core i7-12700 or Ryzen 7 7800X3DMemory: 16 GB RAMGraphics: GeForce RTX 2060 SUPER or Radeon RX 5700 XT or Arc A770DirectX: Version 12Storage: 70 GB available spaceAdditional Notes: SSD required.
42;Gwent: The Witcher Card Game;8;Requires a 64-bit processor and operating systemOS: 7/8/8.1/10 (64 bit)Processor: Intel Celeron G1820 | AMD A4-7300Memory: 4 GB RAMGraphics: NVIDIA GeForce GT 730 | Radeon R7 240;Requires a 64-bit processor and operating systemOS: 7/8/8.1/10 (64 bit)Processor: Processor: Intel Core i3 6100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 | AMD Radeon R7 265
43;Thronebreaker: The Witcher Tales;8;OS: 7 / 8 / 8.1 /10 (64bit)Processor: Intel Celeron G1820 | AMD A4-7300Memory: 4 GB RAMGraphics: NVIDIA GeForce GT 730 | Radeon R7 240Storage: 8 GB available spaceSound Card: DirectX compatible sound card;OS: 7 / 8 / 8.1 /10 (64bit)Processor: Intel Core i3 6100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 | AMD Radeon R7 265Storage: 8 GB available spaceSound Card: DirectX compatible sound card
44;The Witcher Adventure Game;8;OS *: Windows XP SP3Processor: 2.0 GHz Dual Core ProcessorMemory: 1 GB RAMGraphics: Integrated GraphicsStorage: 500 MB available spaceAdditional Notes: Unsupported video chipsets: Intel HD Graphics 3000, Intel GMA X3100, Intel GMA 95 ;NOT INFORMED
45;Call of Duty: Warzone;9;Requires a 64-bit processor and operating systemOS: Windows® 10 64 Bit (latest update)Processor: Intel® Core™ i3-6100 / Core™ i5-2500K or AMD Ryzen™ 3 1200Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 - DirectX 12.0 compatible systemDirectX: Version 12Network: Broadband Internet connectionStorage: 125 GB available space;Requires a 64-bit processor and operating systemOS: Windows® 10 64 Bit (latest update) or Windows® 11 64 Bit (latest update)Processor: Intel® Core™ i5-6600K / Core™ i7-4770 or AMD Ryzen™ 5 1400Memory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 580 - DirectX 12.0 compatible systemDirectX: Version 12Network: Broadband Internet connectionStorage: 125 GB available space
46;Crash Bandicoot N. Sane Trilogy;9;OS *: Windows 7Processor: Intel Core i5-750 @ 2.67GHz | AMD Phenom II X4 965 @ 3.4GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 660 2GB | AMD Radeon HD 7850 2GBDirectX: Version 9.0cStorage: 30 GB available spaceSound Card: DirectX 9.0c Compatible ;NOT INFORMED
47;Sekiro: Shadows Die Twice;9;OS *: Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bitProcessor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 760 | AMD Radeon HD 7950DirectX: Version 11Network: Broadband Internet connectionStorage: 25 GB available spaceSound Card: DirectX 11 Compatible;OS *: Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bitProcessor: Intel Core i5-2500K | AMD Ryzen 5 1400Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 970 | AMD Radeon RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 25 GB available spaceSound Card: DirectX 11 Compatible
48;Tony Hawk's Pro Skater 1 + 2;9;Requires a 64-bit processor and operating systemOS: Windows 10Processor: AMD FX 6300 / Intel Core i3-4340Memory: 8 GB RAMGraphics: AMD HD 7950 / Nvidia GTX 660DirectX: Version 11Storage: 24 GB available space;Requires a 64-bit processor and operating systemOS: Windows 10Processor: AMD Ryzen 5 1600X / Intel Core i5-2500KMemory: 12 GB RAMGraphics: AMD Radeon R9 390 / NVIDIA GTX 970DirectX: Version 11Storage: 24 GB available space
49;Spyro Reignited Trilogy;9;Requires a 64-bit processor and operating systemOS *: Windows 7Processor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 (2 GB) | AMD Radeon HD 7850 (2 GB)DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible;Requires a 64-bit processor and operating systemOS *: Windows 7Processor: Intel Core i5-2500K | AMD FX-8350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 (2 GB) | AMD Radeon RX 480DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
