EMPRESA;JOGO;TITULO DO COMENTÁRIO;COMENTÁRIO;NOTA;DATA;OPINIÃO DAS PESSOAS SOBRE O COMENTÁRIO
Nintendo;Metroid Dread;My 2021 Game of the Year!;The only adventure I've gone through with Samus was Super Metroid and I greatly enjoyed it. However I was immediately dethroned for me by Metroid Dread. The visuals are positively stunning, the bosses and enemies are a tough challenge, the secrets you can find in every corner are rewarding and give you a sense of accomplishment and power, the music is brilliantly done, the game is (for the average player) around 8-11 hours long which means when you master it you can breeze through it in a few hours. This narrowly claimed my game of the year (with Halo Infinite being nearly, nearly as good of a game) but honestly, it deserves it and I am patiently (not really though) awaiting for Metroid Prime 4... I'll just have to wait about six years, but it'll be fine!;10/10;19 February 2022;4 out of 4 found this helpful.
Nintendo;Metroid Dread;A Fantastic Return;After 19 long years, Metroid Dread has finally arrived, and it's everything fans of Samus Aran's 2D adventures could have wanted. Excellent controls, phenomenal visuals, and an interesting story combine to make a challenging, but rewarding package. 19 years was a long time to wait, but this title is good enough that it almost makes up for that.;10/10;13 October 2021;8 out of 10 found this helpful.
Nintendo;Metroid Dread;Good action game, okay Metroid game;Metroid Dread is an extremely fun action adventure game, with fluid combat and snappy movement. Beams are fun to use with the 360-degree aiming. The slide move is a welcome addition that keeps the momentum going. The bosses are challenging but satisfying to beat. They require you to learn the pattern, and master the fight. But it is slightly disappointing as a Metroid game. Notably, the atmosphere is not very prevalent. I wasn't as immersed in the world, and the soundtrack was less memorable (though it did grow on me). Areas were more distinct and interesting looking than Samus Returns, with good variety, but I just wasn't immersed like the other games. The counter indicator and constant (loud) combat with smaller enemies took the focus away from exploring an alien world. I felt that there weren't as many moments with a moody, oppressive atmosphere that I just wanted to soak in. The game is also fairly linear, even though it takes you through many different areas. You go on a relatively straight path, with little option to do another area first (like in Super Metroid). This could've worked if the game had a more intricate story (like in Metroid Fusion), but there isn't much of one to be found. However, the planet is still extremely fun to explore, thanks to items being placed in every nook and cranny. With fun puzzles to solve to get them. The speed booster in particular had lots of satisfying item puzzles, that took advantage of the movement. The power-ups were all useful, and fun to use. It might be a nitpick, but the graphics look sort of plasticy, and the art style is less grimy and detailed than say, the Metroid Prime games (which were also 3D, on notably less powerful hardware). The backgrounds do look phenomenal, and there's plenty to see, but I felt like the character models could've looked a little bit better. I prefer Metroid to have disgusting, scary looking enemies, but I felt like there was a little bit of missed potential for that here (though that's definitely a nitpick). The EMMI sections were satisfying, and intense. The fights with the robots were especially engaging (partially because of the dynamic camera angle). However, they certainly didn't build much dread, and didn't have as oppressive of an atmosphere as I would've liked. They stay the same throughout the whole game, with little variation to keep you on your toes (to be fair, each one uses a different power-up). They always stay within their zone (which all look the same), and they all have pretty much the same design (just with different colors). Compare this to the SA-X in Metroid Fusion, which showed up unexpectedly (on a first playthrough), in various environments, and you didn't know when it would appear next. I felt that there was a missed potential to really play into that "dread" the game is named after. What if one of the EMMI broke out of its zone unexpectedly, or were infused with the X and took on a more disturbing design? I just felt that there could've been more surprises with them. Though again, I have to admit they were fun, just not "dread" inducing. Bringing up the story again, I felt that it was less impactful then the two previous numbered entries. The cutscenes were very well choreographed, had lots of personality, and we're action packed. But there wasn't much of a narrative, even compared to Super Metroid (which was on the SNES). There were twists to be sure, but nothing was built up. Some new characters were introduced, but they barely interact with Samus, or offer much personality. Even the mandatory sections were Samus must talk to Adam, offer little in the way of character interaction, or expand on the world. The dialogue between Adam and Samus is missing the personality and charm that Fusion had, though to be fair, there is technically a reason for that (if you've beaten the game, you know what I mean). I also think 1-2 text based monologues (like Fusion), would've been decent here, since Samus is seeing the race that raised her, unexpected alive and well. I would've liked to hear a tiny bit of her thoughts. Though definitely not like in Other M. But overall, nitpicks aside, this is still a great game, and I'm glad Metroid is back. It was extremely satisfying to play. I just hope the next entry, will be slightly more atmospheric, than this one.;8/10;5 March 2023;0 out of 0 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;There Is No Other Choice;This game has gotten way too much critisism for the decisions that the creators made. Even when this came out, I strongly disagreed with some of the critisism, because I felt people misunderstood the plot and the motives of the characters. Now that I'm playing the game for the second time and I can kind of relax, knowing how the story goes, I can focus more on how the story and the characters proceed, and the game is still amazing. It looks amazing and I love the characters because they seem like real people. Real people do things wrong, they are not perfect.I feel like haters just concentrated on what happens to Joel. But the game shows that everything has consequences, even for the characters that everybody adores. If you cannot handle that, you should never watch movies, read books or play games, because it happens in every form of media. People that are loved, suffer or die. That is just life.I have no other choice but to give this a 10/10. I'm having so much fun and I'm excited to see pt III.;10/10;18 March 2023;76 out of 114 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Masterpiece;I was skeptical. I actually put off the game because of all of the outrage. I was wrong to do that. This game is an experience unlike any other game you will ever play. The reason people hate it is also the same reason it is amazing. Give it a chance. Just like people hated Empire Strikes Back when it first released, I believe in 10 years this game will remembered for its greatness.The writing is amazing, the characters engaging, the way violence is depicted is unlike any game I've played, and last but not least the story is memorable. If you were on the fence about this game, give it a shot with an open mind. You might just be like me and absolutely love it.;10/10;7 February 2023;55 out of 83 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Great game, just misunderstood;Yes this game has flawes. I think the game is too long and because of that the pacing suffers sometimes. I also disagree with some minor decisions that were made.But you cannot deny how beautiful and engaging this game actually is. This game did something most games before have never actually touched upon and used its medium in a clever way. Trust me when I say in 5 to 10 years time, people will look back and say this game was severely misunderstood.Most people get what this game was going for, they just don't want to except it (yet)....;10/10;22 March 2022;123 out of 206 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Masterpiece at so many levels;I simply can't understand all the disappointed low reviews. I imagine it's people who don't like to think and simply want to point and shoot.This game is a master class of storytelling, character creation, paradigm shifting... all wrapped in a beautiful shell. No other game had ever made me throw the control away because I simply couldn't decide which character to hurt. And that's the whole point: this game makes us question violence in games and the futility of violence in general as a response to conflict. If nothing else, just for that, it deserves every recognition in the world.The way it introduces the different characters and makes you realise that your antagonist may be someone else's protagonist, is flawless.The characters are full of life and truth. They're believable and 3D, not flat archetypes.I could go on and on. And I genuinely feel sorry for those who feel disappointed by this game. I honestly believe they missed the whole point of it.10/10.;10/10;30 January 2023;61 out of 100 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;This game is being review-bombed into oblivion.;Like damn, this 30-hour game hasn't even been out for a day in most countries and y'all act like you finished it already;10/10;19 June 2020;718 out of 1,371 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Sad story isn't bad story. This not what you wanted, but it what you got!;Story is not stupid. It is horribly sad. It develops around the theme of neverending violence, and how it destroys us in the end. A really needed perspective, a thing, that we all need to hear in todays world.I have to say, that one of the best things is, that this story doesnt give a **** about you. It develops in its own way. Yes, at the end you might wish you didnt play it and just stick with ending of first part, but isn't it what life really is about? Us remebering the good old days? Horrified what might future do to us? And is it really up to us to stop that wheel of violence? Or are we just trapped inside its never ending cycle?These and other thoughts I have during gameplay. So it is thought-provoking, which is great and beyond what ou expect from game story.One star down for unnecessary double ending.As for the graphics design, combat modes and atmosphere, it is totally fantastic. Totaly enjoyed it.Well, sequel is great and was worth waiting. But I guess lots of people will think twice before wanting another sequel. But isn't it another great truth? Be happy with you have?;9/10;10 January 2023;10 out of 14 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Flawed but definitely had it's moments;Now i do understand what most of you think about this game because of what druckman did, that he ruined the original characters and he prefers that you hate his game rather than feeling nothing about it and tbh me too was really upset and disappointed after you know 2 hours into the game "the thing" happened but if you actually continue to play the game it all make sense and it's not like you are not getting any Joel and Ellie moment, you should know that Joel in the first game did a lot of messed up things with no mercy even if it was out of love and his past is coming to hunt him in this game which was always the case, he's not a hero guys even if you want him to be.The graphics and environments are breathtaking, some of the best world design i've ever seen and the gameplay while similar to the original, it's even more violent, horrifying and gruesome as it can get.In terms of story i still think the original is told better because literally every character in the original last of us was likeable even the villains and that's not the case here, Abby is incredibly unlikable and she had no redeeming qualities to me if Lev didn't exist, Dina and Jessie are alright but they should have been way better and the pacing is all over the place but even so, this is a quality game and it's nowhere near as bad as some would make you believe and most of them didn't even gave the game a chance and made up their minds based on the leaks which works for a movie i guess but this is different and you have to experience it for yourself and even if you still don't like it, it's understandable like i said the game is flawed and it's not for everyone like the first game.;8/10;22 June 2020;323 out of 680 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Far From Perfect, Far From Garbage. A Flawed Masterpiece.;First thing's first, play the game for yourself. Buy the game, turn the lights off, and get cracking. In the end, this is a video game, and the only thing that matters is your own personal experience. You might hate it, you might love it, but it's your opinion, and nobody should be able to change that. I have played all the way through the game, and I took my sweet time. What follows are my honest opinions:The Gameplay: Putting everything from the story to one side, this is stellar, top class gameplay. Combat is fluid, tense, and really exhausting in the best possible of ways. It takes everything we loved from the first game and only builds on it. You're able to approach encounters however you please, but playing smart (using stealth and your tools) feels immensely rewarding. I thoroughly enjoyed scavenging for materials and planning ahead to decide how I could be the most effective predator in combat while utilising as little resources as possible. Whether you're up against human foes, or the infected (Including the absolutely terrifying new infected types!) it's up to you as the player to determine how you can be the most effective against each very different enemy type. This is a true post-apocalypse experience.The Story: It's extremely difficult to talk about the narrative, for many reasons. First and foremost, spoilers. (I won't be spoiling anything!) Reading the leaks and not playing the game will not give you the faintest idea of the direction this story takes. It's a video game, and it must therefore be played in full, by you. In my opinion, the story is truly complex and multi layered. Sometimes you want to cry, sometimes you want to laugh, sometimes you want to throw your controller through the TV. There's a lot at work here, and my understanding is that most of these emotions you feel are intentional. There are points in the game where you will NOT be satisfied with the outcomes of events, and this is the way it's designed. This is a story about the cost of revenge, sins of the father, and the near impossible ability to swallow hatred. The game is a message, and only by playing through the entire story could I piece together -and comprehend- the message I was being taught.But given this, I believed the story was far too long, with some really odd and dissatisfying decisions mixed in. There's a particular sequence of the game that has you go back in time to relive events from a new perspective. There are moments here that are crucial to the overall narrative arc and your understanding of the plot, but it turns into a 10+ hour deviation. I found myself wanting to get back to "the game" as if I was playing something completely different. The game lost it's flow for me here, and I began to feel disconnected from all of the characters on-screen. There are moments (that I can't go into) Where the game wanted me to perform actions that I simply did not want to perform. This did not feel intentional to me, all I was feeling in these particular moments was confusion and disappointment. But, the final hour brings it all back together, and finally concludes what the game is setting out to say in a really intelligent and hard hitting way. I am likely to carry these feelings for years to come!In conclusion, I saw this as a heavily flawed masterpiece. It added upon things I loved about the first game, and it took away things I loved about the first game. It was an exhausting journey through just about every emotion a person can feel. It was incredibly intelligent, well constructed, and beautifully rendered. I often found myself admiring random, totally unimportant spots in the game world, considering just how much work had gone into creating such gorgeous environments. But it's far from perfect, the concept of "If you don't like it, you don't get it" is preposterous, nobody can tell you how to feel. You are perfectly in your right to dislike this game, but only once you have played it for yourself.;7/10;5 July 2020;317 out of 583 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Good gameplay ruined by awful writing!;I was a huge fan of the original game. It was one of the best stories I've ever experienced so you can imagine my disappointment when hopping into this game. First of all, the main characters of the first game are completely butchered by stupid writing. Everything from, trying to avoid spoilers, traditionally careful and experienced characters who've shown in the first game that they know how dangerous strangers can be and to not trust anyone but in this game they're now automatically trusting of people they've never met to go as far as to even tell them they're names and where their settlement is within 4 minutes of meeting them.That's just one example of the poor writing in this game and trust me when I say there's plenty more to complain about but to avoid spoiling anything I'll just say the game makes bold decisions in its story. The problem is the execution was done so poorly as it obviously was trying to be bold for the sake of being bold and ignoring good story telling. I recommend you pass on this. If you're a fan of the first game, just pretend this game never came out. You'll be far happier with the bittersweet ending of the first game and believing that to be the definitive ending to Joel and Ellie's story.;4/10;24 November 2021;25 out of 34 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Sometimes brilliance is misunderstood.;Finished The Last of Us Part II and started Survival+. Blew me away! The editing in this game is beyond impressive. It reminds me of the editing in Pulp Fiction, which took some people time to get used to. Now, this kind of editing is common in cinema, but to have it in a game is really impressive. I gotta say, I was expecting a bad ending, too but was pleasantly surprised. Technically and gameplay wise it is the best 3rd person shooter I've ever played and best stealth game, too. Better than the first and my new all time favourite game tied with God of War.This game and the first have been given different themes. The first was, 'The journey, companionship, fate and destiny', while Part 2's themes are, 'vengeance and the cycle of violence'. Makes so much sense now, after playing the game in full and seeing how it ends. I'm happy. I definitely would not have had the same experience if I hadn't played the whole game myself and just watched the cut scenes, or watched someone else stream a play through. You slowly grow to feel empathy for Abbey by playing the entire game. This is why I believe some of the haters did not play through the whole game themselves.The people who aren't happy with the story wanted to hate Abbey, but instead were forced to feel empathy for her. Funny, cause if the first part of Abbey's story never happened these haters would have really liked her and not disliked the story.You do not have to like Abbey (I eventually did), but you are meant to feel empathy for her. This is the part some people struggled with. The whole point of the script is to feel empathy for every single human in the game, even the lesser enemies as you kill them. I commend Naughty Dog and Neil Druckmann for taking such risks. If they never did what they did with the story we would more than likely have had just another game instead of this masterpiece.;10/10;9 July 2020;212 out of 461 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;DO NOT LISTEN TO THE BAD REVIEWS!!!;This game is absolutely stunning! So many people have gone into this game believing that they already hate it before even playing.I REFUSED TO LOOK AT ANY LEAKS BEFORE PLAYING AND I LOVED IT!!The story makes sense! Its true, its dark, realistic and its explores so many gritty and real themes. Like it says on the game case, it's a REVENGE story, not another cash-grab sequel. Everything that happens in the story happens for a REASON.This game looks INCREDIBLE! I played this on the original PS4 and it shocked me how polished and beautiful it was. Definitely one of the best looking games out there.The gameplay is very similar to the first game but feels quite a lot more polished. And the game is just so much more brutal than the last.This game is already in the top 5 games on PS4 for me and I will always stand by that.;9/10;19 June 2020;311 out of 691 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;People are being way to critical about this game!;I honestly do not think this game is bad in any way, people are just mad because it wasn't made the way they wanted, and by now it just seems like people love to hate it, which I think is stupid.I gotta admit, this game isn't quite like the first one, and makes you feel a little bit different, which I think is okay since the first game is about love and this is about hate. I can admit that a few things (not many) was indeed a little bit dumb, but overall this game has great graphics, great gameplay and a good story, and I do think people should try to play it themselves, cause you do get invested in the story, and it's a great journey.I think the characters are likeable also, which is good. I even startet to like some of the "bad" ones too, which I didn't like that I did, but is a good thing.I personally think it's worth your money, give the game a shot.;10/10;19 June 2020;270 out of 603 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Amazing game;The graphics are amazing in this game and the gameplay is Definitely a step up from its predecessor. Many are review bombing a game the haven't played over choices the game itself makes. But if you actually play the game like I have it all makes sense and it gives the the sense of rage to immerse you in this intense story about revenge.;10/10;20 June 2020;218 out of 509 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Don't believe the negativity;Whatever the reason for it, it has nothing to do with the game. This thing is amazing. High point in storytelling for the video game industry as a whole.;10/10;24 June 2020;239 out of 566 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;Epic, complex, technically outstanding and not "by the a book" sequel;Greetings from Lithuania.I was really looking forward for "The Last of Us: Part II" (2020) because I've completed first game three times and it is one of my favorite, if not my favorite game of all time. I watched main trailer many times, avoided all leaks on internet and even did not watched demo of Part II - i wanted to come to this game as "empty" as possible, so all the twists were truly unexpected for me - did not see that coming. And after ~34 hours that took me to complete the story (because i took a time to explore this world little by little) i can safely say - this is a great game to say the least despite its flaws.By flaws i mean that it was a bit to long in my opinion - some of the stuff later in the game could have been cut out - playing it felt more like a "directors cut" were they put all scenes possible to enrich this world. Also this game had some pacing issues later in the game, were it dragged a bit here and there. And those were my only complains. Other than that this is hand down one of the very best if not the best PS4 title ever made.If you liked exploration of this bleak world in the first game - you will more then like this. Graphics, sound, music. controls - all were first rate. Acting was very good as well. There were a lot of very intense action set pieces, were i was fighting bunch of enemies using all possible "tools" that game gave me - i can't even describe it - it has to be played to truly be experienced it. I also like how brutal and bleak this world is, were many of good characters that i encountered died suddenly and without any warning - it felt like a real world. And the story took me to places i surely did not be seeing in this game - there were many surprises along the way.Overall, creators of this game surely took a risk with plot, and as it can be seen now, many did not like it. I liked it because it felt fresh and took a different direction then one can expect from a sequel. "The Last of Us: Part II" is epic, bold, unique and technically amazingly game which despite its flaws ranks among the best games on PS4, and i think one of the more unique sequels ever made on any media.;10/10;24 June 2020;127 out of 294 found this helpful.
Sony Interactive Entertainment;The Last of Us Part II;As a fan, I'm just sad.;As a fan of the first game, I was absolutely HYPED for this game. When The Last of Us 2 opens up, you get a beautiful world, familiar soundtrack, and the return of both of the characters we all grew to love in the first game, Joel and Ellie. For the first 2 hours of gameplay, you feel right at home in the world. But it soon begins to fall apart. It is hard for someone who has replayed the first game multiple times to realize that the sequel is not up to par. TLOU is about characters and story. Many people, myself included, did not play the game for the gameplay, which is just like a lot of other games. It was the story and the chemistry between Joel and Ellie as a father-daughter duo that drew us all in. Part two feels like it completely disregards the relationship established in the first and the characters seem to change personality and consistency just to further the plot along. There are times where the characters feel like a different character entirely and I was left thinking, "(insert character name) wouldn't have done that. They were smarter than that."After about 7 hours of gameplay, it begins to feel flat. In a world full of undead, even the living lose life. The story becomes cliche and predictable, and there is a section that is about 10 hours long that focuses on things that have nothing to do with the main story except that it is trying to establish a backstory for a new character. In the first game you learned about the characters as they pushed through the story, a 10 hour flashback was not needed to establish the characters. A lot of the times, things were just unnecessary and by the halfway point I was just wanting it to be over because I was just bored.Boring is not a word I would like to use to describe The Last of Us 2, but it is what it is.The ending is anticlimactic and it feels as if the game was trying too hard to be artsy and deep instead of just telling a good story. I felt so much emotion for these characters in the first game, and to this day I can't get through the prologue without crying, but I felt nothing in part 2. The characters feel so different and inconsistent that if it weren't for the fact that clickers were present, you could easily forget that this is even a TLOU game.All that said, the graphics, soundtrack, and acting are phenomenal. The story, is flat and feels more dead than the undead themselves.This game is definitely getting bombed by negative reviews on purpose, but don't just ignore the audience score because of that because there are some valid reasons for disliking this game.;5/10;19 June 2020;763 out of 1,370 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Best Game of 2020;This game is almost perfection-- everything from the ultra-realistic renderings of Japan to the combat to the acting is incredible. I also love the story and Jin's conflicted nature about the rogue element of his combat style.The main villains' barbarity was portrayed well. In one of my favorite games, Medieval Total War 2, and during the Medieval era the Mongols were the most ruthless enemies you could battle. Historically, they were such an existential threat that warring provinces in Eastern Europe called a truce with each other and banded together to drive them back to Asia.People have complained about this game's repetitiveness. Yes, sometimes the combat is somewhat repetitive, but to me it's the GOOD kind of repetitive. I'm not annoyed by it.Whenever I want to complete every task in a game you know that it has attained legendary status. I posted a "top twenty video games" list on my blog last year with games that ranged from the '80s to today. Now I want to revise it to include Ghost on it.;10/10;6 October 2020;99 out of 101 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Absolutely amazing;The visuals are breathtaking the story is great the combat is excellent. The stances add a whole new element to the open world genre.;10/10;17 July 2020;76 out of 78 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Samurai Fantasy;Sony once again have another top class exclusive for the PlayStation 4. The Island of Tsushima is beautifully realised by SuckerPunch in their first game in over 6 years. The massive open world is vast and dense with luscious biomes and unique activities that put a twist on the conventional collectible grinding. Additionally, these present new ways of allowing the player to be immersed within Tsushima by guiding the player without the use of a waypoint or having to open the map.10/10;10/10;17 July 2020;69 out of 73 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Must Buy;Amazing game the combat is top notch, the graphics are right up there! The setting in Japan with the art work is truly beautiful! Story so far been really good to, contender for game of the year! One of my favourite exclusives now! Hope suckerpunch bring some DLC or create another samurai game after this, first game in a while that I want to 100%;10/10;19 July 2020;43 out of 46 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;10/10 no cap fantastic game;Holy crap this game is awesome the protaganist is a badass and the map is big and is very cool to explore;10/10;20 July 2020;43 out of 47 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Its oozing with culture, history, dynamic, beauty, wisdom ...;Ok, so I got Ghost of Tsushima last night and have played today. I dont know exactly what to say other than WOW. A game that captures and expresses so much more than just experience. Its oozing with culture, history, dynamic, beauty, wisdom ... its everything I love about japan and have always loved in a journey I can stroll through on my own terms, at my own speed. Ive spent most of the day in aww, taking screen shots and making notes of the beautiful ways of the Japanese tradition, Shinto, Samaria and the shear respect they have for mother nature. Truly inspired, truly touched and I stand in silence at just how amazing the gaming world has become. Escapism with education, culture and endless creative touches for all of us to experience in our own way. Beautiful ...;10/10;26 July 2020;34 out of 37 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Absolutely Brilliant;If u like Assassins Creed u will love this,Great gameplay and stunning visuals.;10/10;20 July 2020;32 out of 35 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Man or ghost?;'Ghost Of Tsushima (2020)' is an open-world adventure game set during the Mongol invasion of Japan in 1274. It's essentially historical fiction, spinning off from an authentic starting point to tell its own tale. That tale focuses on Jin, one of the few remaining samurai after an initial battle on the beach, as he fights to regain his strength and, using tactics he normally would never consider and allies who previously might've spat in his face, reclaim his island. The narrative deals with resonant themes of honour, sacrifice and family. It's really engaging, enjoyable and, at times, emotional, too. It ties itself into the fundamental design of the game in an incredibly intrinsic way, which means that everything you do - from the main missions to the side content - actually feels as though it's moving towards a single, inevitable stopping point. Basically, this means that nothing seems like busy work and that you'll actually want to participate in the non-mandatory stuff because it all adds up to a more complete, cohesive and thematically rich experience. It feels like a proper samurai story, clearly inspired by Japanese Jidaigeki (period drama) and Chanbara (sword fighting) films (and, in particular, the work of Akira Kurosawa). It feels remarkably authentic, despite the fact that it obviously takes some liberties when it comes to accuracy (the katana wasn't invented until well after the plot's events, for example), and is possibly the best representation of East Asian culture I've seen in a western game. For added immersion, I recommend you play through the title in Japanese with subtitles. The Japanese voice acting is very good and, though the character's mouths don't line up with the non-English dialogue (which is getting 'fixed' in the upcoming director's cut), the title almost feels designed to have been played using it right from the start. it's no botched dub, that's for sure. The gameplay is basically a mixture of combat, stealth and exploration. It's all really fun. The combat is highly satisfying and totally avoids feeling like a 'button mash' sort of thing. You have to consider your blows and be ready to dodge or parry at a moment's notice. As the game progresses, the fighting evolves to include multiple enemy types, sword stances, ranged weapons, ammo types and special abilities, all of which have distinct effects and enable you to adjust the way you want to take on your foes. The title's duelling mechanic, which pops up ever so often when you face a more substantial enemy than your standard Mongol soldier, puts the focus firmly back on skill-based swordplay (your secondary weapons can't be used) and does a good job of emulating the showdowns seen in samurai media. These mastery-testing one-on-one battles are actually some of the most intense in the game, partly due to their difficulty and partly due to the fact that they're often directly fuelled by the story. The combat in general is really fun and is potentially the highlight of the game. The stealth is a bit more basic than the out-in-the-open combat. it's primarily line-of-sight based stuff. Still, it's challenging enough to be rewarding when you remain undetected. You can hide among tall grass or use high ground to your advantage, use your bows to pick off foes or get up close and slip your tanto in-between their ribs, throw a wind chime as a distraction or cause panic with your poison. There are plenty of options and if you're seen you can usually just engage the enemy in a more traditional manner (though some missions do require stealth to succeed). Exploration is perhaps what you spend most time doing. Between main missions, you're left on your own - with your trusty steed, that is - to roam around Tsushima and discover what it has to offer. Be it fox dens, Inari shrines, bamboo strikes, pillars of honour, Sashimono banners, Torii shrines or haiku spots (my favourite collectible type), there are plenty of things to find as you ride around. What's especially nice is that each of them reward you with something that has a tangible impact on either gameplay (charms can be used to augment certain behind-the-scenes statistics, for example) or Jin's appearance, meaning that finding them never feels like a chore. The other two types of collectible, records and artefacts, aren't as compelling to find, but they still provide some solid background story / information and prove that Sucker Punch have done their research. Traversal is always intuitive, though slightly floaty, and there is a good balance between moments of peace and Mongol patrols that need your attention. A large part of the game is liberating settlements of various sizes which have been captured by the enemy. Some of these require you to kill everyone inside, some require you to save hostages and some require you to complete a series of bespoke objectives. Whatever the case, they're always entertaining and - much like the experience in general - never get repetitive. Throughout your journey, you will find materials that can be taken to various smiths and merchants to upgrade your gear. This progression system is very linear but, because you have a variety of armours to choose between (each of which have their own distinct benefits), there is an element of resource allocation that keeps you on your toes. The skill-based progression isn't as linear. you gain skill points for increasing your legend (earned by completing missions and taking on enemies), which you can then trade for an assortment of stance, tactic, weapon and exploration enhancements. It's possible to gain every skill before the end of the game, so the levelling up system is more about choosing what you want to upgrade first rather than choosing between two contradicting skills. That's not a bad thing, though, as it allows you to feel truly powerful as the experience draws to its close - if you've mastered your newfound abilities and equipment, that is. Alongside the main missions and more general open-world elements (such as liberations), the game offers three kinds of side missions. The first are a series of varied, character-specific stories that further explore five key characters to give them some welcome depth. The second are one-off stories that often act as small morality plays and are interesting despite their meat-and-potatoes usually just being "go here and kill these guys". The last are known as 'mythic tales' and explore modern-day remnants of ancient legends, ultimately rewarding you with a new piece of gear or a special ability. They arguably have the most substantial rewards and have a distinct, often almost otherworldly feel to them. It's also worth mentioning that the title introduced a co-operative mode in a post-launch update, but I don't have any experience with it so I won't discuss it further. Graphically, the game is really impressive. Its world is colourful, varied and sprinkled with prime opportunities to use photo mode. A stand-out element is certainly its particle system, which can see seemingly thousands of cherry blossom leaves swirl around your feet or paint the scenery red with accurate arterial spray from your enemies. It's spectacular stuff. The animation is great, too, and the cut-scenes are top-notch. Ultimately, 'Ghost Of Tsushima (2020)' is a phenomenal open-world game that somehow avoids the pitfalls of its genre despite playing pretty closely by its rules. It has an excellent story that's surprisingly affecting, highly enjoyable gameplay and a sometimes downright beautiful aesthetic. 10/10.;10/10;9 July 2021;10 out of 10 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;Great Experience;This game is fantastic. Awesome graphics. Cool combat. Interesting missions set in a beautiful Japanese landscape. And the biggest and best feature is the no nonsense male protagonist on a mission of death and revenge. Play this game.;9/10;20 July 2020;27 out of 31 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;A beautiful experience;I just finished it today and all i can say is that the game is really enjoyable and fun although nothing i havent seen before or that hasnt been done. The game doesnt quite feel like a 2020 PS exclusive in terms of graphics and animations. But then again after you play God of War and The Last of Us Part 2 is kinda hard to go back and appreciate normal games such as this. The story is really good because its simple, the good old "protagonist is the best and wins everytime". What makes this game really shine are the landscapes and combat that are very well put together. I encourage everyone to try this game! You wont regret it. Its a strong contestant for GOTY. I wanted to write this review as honest as i could.;9/10;20 July 2020;23 out of 26 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;This Is Game Is Like A Dream Come True;I have been waiting for a game like this to come out for a long time. I'm very fond of open world games and this game has exceeded my expectations. This is one of the most beautiful and exciting games I have ever played. The combat is unmatched, the story is so unpredictable and keeps you on the edge of your seat, and everything else about it is just so amazing. Sucker Punch really outdid themselves on this game.;10/10;21 July 2020;16 out of 18 found this helpful.
Sony Interactive Entertainment;Ghost of Tsushima;A Masterpiece of a Game. Trust the reviews!;Woah.... This game is amazing. Emotion, good graphics, and great gameplay all wrapped in one. You can't go wrong with buying this game. I play on easy mode, and I experienced something VERY rare in a video game. Even on easy mode, it's still beautifully balanced and not TOO easy to where it's not enjoyable. And the side quests actually build the characters, it's not like (my personal favorite open world game) Horizon Zero dawn, where you do the side quests and that's it. You did a service for the characters and you never have any idea what it had to do with the stories. None of that on here, it all seems to tie in with the story. This game is emotional, there were a few times where I felt like I was punched in the gut with my own feelings. Should I even say more? Buy this game!;Not Informed;30 July 2020;4 out of 4 found this helpful.
